id_diagnostico,codigo_cie10,diagnostico,capitulo_cie10,tiene_diagnostico
207,M042,SINDROME AUTOINFLAMATORIO ASOCIADO A LA CRIOPIRINA,Enfermedades del sistema musculoesquelético,1
208,NO REPORTADO,LEUCEMIA LINFOBLASTICA AGUDA,Enfermedades del sistema genitourinario,1
209,N40X,HIPERPLASIA DE LA PROSTATA,Enfermedades del sistema genitourinario,1
210,E755,XANTOMATOSIS CEREBROTENDINOSA,"Enf. endocrinas, nutricionales y metabólicas",1
211,N079,"NEFROPATIA HEREDITARIA, NO CLASIFICADA EN OTRA PARTE: NO ESPECIFICADA",Enfermedades del sistema genitourinario,1
212,NO REPORTADO,ANESTESICO LOCAL ASOCIADO CON UN VASOCONSTRICTOR,Enfermedades del sistema genitourinario,1
213,E840,NO REPORTADO,"Enf. endocrinas, nutricionales y metabólicas",1
214,D353,TUMOR BENIGNO DEL CONDUCTO CRANEOFARINGEO,Neoplasias benignas / Enf. de la sangre,1
215,H581,ALTERACIONES DE LA VISION EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,Enfermedades del ojo y del oído,1
216,Q960,"CARIOTIPO 45,X",Malformaciones congénitas,1
217,P745,TIROSINEMIA TRANSITORIA DEL RECIEN NACIDO,Afecciones del período perinatal,1
218,NO REPORTADO,DIAGNOSTICO Y TRATAMIENTO DE LA INSUFICIENCIA CORTICOSUPRARRENAL ENCEFALOPATIA INFANTIL MIOCLONICA CON HIPSARRITMIA,Enfermedades del sistema genitourinario,1
219,C833,LINFOMA NO HODGKIN DE CELULAS GRANDES (DIFUSO),Neoplasias malignas (oncológico),1
220,NO REPORTADO,HIPERTENSION PULMONAR PEDIATRICA - ANOMALIAS CONGENITAS,Enfermedades del sistema genitourinario,1
221,C509,"TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA",Neoplasias malignas (oncológico),1
222,B210,"ENFERMEDAD POR VIH, RESULTANTE EN SARCOMA DE KAPOSI",Enfermedades infecciosas y parasitarias,1
223,NO REPORTADO,OTROS DEFECTOS DE COAGULACION,Enfermedades del sistema genitourinario,1
224,NO REPORTADO,CONVULSIONES MIXTAS - EPILEPSIA REFRACTARIA,Enfermedades del sistema genitourinario,1
225,G111,ATAXIA CEREBELOSA DE INICIACION TEMPRANA,Enfermedades del sistema nervioso,1
226,H473,OTROS TRASTORNOS DEL DISCO OPTICO,Enfermedades del ojo y del oído,1
227,T783,EDEMA ANGIONEUROTICO,Traumatismos y envenenamientos,1
228,B161,"HEPATITIS AGUDA TIPO B, CON AGENTE DELTA (COINFECCION), SIN COMA HEPATICO",Enfermedades infecciosas y parasitarias,1
229,F332,"TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS",Trastornos mentales y del comportamiento,1
230,NO REPORTADO,ENFERMEDAD DE NIEMANN PICK TIPO A Y B,Enfermedades del sistema genitourinario,1
